#,Nombre de presa,Nombre común,Organismo de cuenca,Entidad federativa,NAME Elevación (msnm),NAME Almacenamiento (hm³),NAMO Elevación (msnm),NAMO Almacenamiento (hm³),Elevación Actual (msnm),Almacenamiento Actual (hm³),% de llenado actual
106,"Lic. Eustaquio Buelna, Sin.","GuamÃºchil, Sin.","PacÃ­fico Norte","Sinaloa","68.850","264.950","63.540","80.080","57.620","8.095",10
105,"Danxho, Méx.","Danxho, Méx.","Aguas del Valle de MÃ©xico","Estado de MÃ©xico","2455.130","32.670","2454.000","31.046","2445.080","6.300",20
104,"De Gonzalo, Mich.","De Gonzalo, Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","1534.900","10.000","1533.880","8.837","1531.600","0.098",1
103,"El Bosque, Mich.","El Bosque, Mich.","Balsas","MichoacÃ¡n de Ocampo","1743.000","220.100","1741.400","202.400","1728.200","82.980",41
102,"Cuquío, Jal.","Los Gigantes, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1806.580","8.850","1805.500","7.500","1802.700","4.325",58
101,"El Cuarenta, Jal.","El Cuarenta, Jal.","Lerma Santiago PacÃ­fico","Jalisco","2001.950","38.960","1998.750","30.625","1985.430","5.116",17
100,"El Carrizo, B.C.","El Carrizo, B.C.","PenÃ­nsula de Baja California","Baja California","286.220","44.585","284.700","40.866","278.400","27.260",67
99,"Corrinchis, Jal.","Corrinchis","Lerma Santiago PacÃ­fico","Jalisco","1336.100","29.000","1332.600","20.000","1327.790","10.822",54
98,"José López Portillo, N.L.","Cerro Prieto, N.L.","RÃ­o Bravo","Nuevo LeÃ³n","285.500","393.000","282.520","300.000","263.610","20.050",7
97,"Cajón de Peña, Jal.","Tomatlán, Jal.","Lerma Santiago PacÃ­fico","Jalisco","139.200","707.620","131.660","500.000","124.290","328.762",66
96,"Copándaro, Mich.","Copándaro de Dolores, Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","1989.209","9.717","1987.659","2.752","1995.360","0.211",8
95,"Cointzio, Mich.","Cointzio, Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","2001.320","79.233","1999.470","68.520","1985.780","16.372",24
94,"El Centenario, Qro.","El Centenario, Qro.","Golfo Norte","QuerÃ©taro","1882.500","14.178","1881.550","9.781","1871.250","0.000",0
93,"El Centenario, Coah.","El Centenario, Coah.","RÃ­o Bravo","Coahuila de Zaragoza","336.380","25.711","336.150","24.589","333.820","15.067",61
92,"Constitución de 1917, Qro.","Hidalgo, Qro.","Golfo Norte","QuerÃ©taro","1928.390","76.461","1927.060","66.080","1911.070","1.034",2
91,"La Concepción, Méx.","La Concepción, Méx.","Aguas del Valle de MÃ©xico","Estado de MÃ©xico","2352.540","12.599","2352.100","12.111","2342.790","4.710",39
90,"Leonardo Rodríguez Alcaine, Nay.","Leonardo Rodríguez Alcáine, Nay.","Lerma Santiago PacÃ­fico","Nayarit","394.000","2393.110","391.000","2282.130","370.160","1560.638",68
89,"Internacional Falcón, Tamps.","Falcón, Tamps.","RÃ­o Bravo","Tamaulipas","93.482","1607.962","91.810","1351.630","79.760","332.813",25
88,"Internacional La Amistad, Coah.","La Amistad, Coah.","RÃ­o Bravo","Coahuila de Zaragoza","349.030","2707.437","340.460","1769.660","320.260","193.994",11
87,"Paso de Piedras, Ver.","Chicayán, Ver.","Golfo Norte","Veracruz de Ignacio de la Llav","28.280","572.320","23.640","249.970","18.300","56.100",22
86,"Chihuahua, Chih.","Chihuahua, Chih.","RÃ­o Bravo","Chihuahua","1544.280","35.631","1540.820","23.383","1537.210","14.114",60
85,"Cuauhtémoc, Son.","Santa Teresa, Son.","Noroeste","Sonora","600.250","66.330","597.000","41.470","584.910","1.000",2
84,"Constitución de Apatzingán, Jal.","Chilatán, Jal.","Balsas","Jalisco","437.680","807.150","429.450","590.025","412.360","283.351",48
83,"Chila, Jal.","Chila, Jal.","Lerma Santiago PacÃ­fico","Jalisco","99.000","1.000","98.700","0.762","98.670","0.756",99
82,"El Chique, Zac.","El Chique, Zac.","Lerma Santiago PacÃ­fico","Zacatecas","1586.480","192.567","1580.180","138.909","1567.590","59.902",43
81,"Ing. Fernando Hiriart Balderrama, Hgo.","Zimapán, Hgo.","Golfo Norte","Hidalgo","1563.000","1460.000","1560.000","1390.000","1544.330","1116.168",80
80,"Tenasco, Jal.","Boquilla de Zaragoza, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1724.840","13.850","1722.850","10.490","1717.070","4.226",40
79,"Presidente Alemán, Oax.","Temascal, Oax.","Golfo Centro","Oaxaca","68.500","9105.540","66.500","8119.090","56.220","3964.180",49
78,"Tacotán, Jal.","Tacotán, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1406.290","169.000","1403.060","149.239","1385.090","74.758",50
77,"Ing. Julián Adame Alatorre, Zac.","Tayahua, Zac.","Lerma Santiago PacÃ­fico","Zacatecas","1701.410","50.377","1696.010","31.598","1684.430","8.715",28
76,"Santa Rosa, Zac.","Santa Rosa, Zac.","Cuencas Centrales del Norte","Zacatecas","2249.640","14.041","2248.640","10.476","2244.590","0.930",9
75,"Independencia Nacional, Zac.","Santa Teresa","Lerma Santiago PacÃ­fico","Zacatecas","1949.330","13.944","1946.000","9.172","1940.190","3.477",38
74,"Manuel M. Diéguez, Jal.","Santa Rosa, Jal.","Lerma Santiago PacÃ­fico","Jalisco","748.000","418.000","746.460","393.360","737.190","308.140",78
73,"La Soledad, Pue.","La Soledad, Pue.","Golfo Centro","Puebla","805.000","14.980","804.500","13.900","799.400","5.625",40
72,"Sanalona, Sin.","Sanalona, Sin.","PacÃ­fico Norte","Sinaloa","162.170","987.522","156.200","687.988","131.530","57.787",8
71,"San José, S.L.P.","San José, S.L.P.","Cuencas Centrales del Norte","San Luis PotosÃ­","1933.700","5.656","1933.300","5.223","1923.940","0.379",7
70,"San Miguel, Coah.","San Miguel, Coah.","RÃ­o Bravo","Coahuila de Zaragoza","341.960","22.193","341.740","21.168","340.460","15.956",75
69,"Lic. Emilio Portes Gil, Tamps.","San Lorenzo, Tamps.","Golfo Norte","Tamaulipas","123.900","255.650","122.950","230.780","108.390","48.177",21
68,"Ing. Aurelio Benassini Vizcaíno, Sin.","El Salto o Elota, Sin.","PacÃ­fico Norte","Sinaloa","164.640","815.592","154.500","403.900","139.640","112.570",28
67,"Solís, Gto.","Solis, Gto.","Lerma Santiago PacÃ­fico","Guanajuato","1898.700","1214.140","1892.540","800.000","1887.280","512.684",64
66,"La Soledad, Gto.","La Soledad, Gto.","Lerma Santiago PacÃ­fico","Guanajuato","2209.150","2.371","2207.750","1.857","2200.640","0.131",7
65,"San Juanico, Mich.","La Laguna, Mich.","Balsas","MichoacÃ¡n de Ocampo","1604.560","71.690","1603.860","60.545","1601.470","31.624",52
64,"San José Atlanga, Tlax.","Atlanga,Tlax.","Balsas","Tlaxcala","2486.870","47.970","2486.400","42.630","2483.950","20.491",48
63,"Santiago, Zac.","Santiago","Cuencas Centrales del Norte","Zacatecas","2000.260","11.421","1997.260","6.200","1994.360","2.746",44
62,"San Gabriel, Dgo.","San Gabriel, Dgo.","RÃ­o Bravo","Durango","1783.390","377.338","1777.900","245.431","1768.270","94.245",38
61,"Santa Elena, Dgo.","Santa Elena, Dgo.","PacÃ­fico Norte","Durango","2001.610","18.766","1999.800","15.080","1989.460","2.050",14
60,"Santiago Bayacora, Dgo.","Santiago Bayacora, Dgo.","PacÃ­fico Norte","Durango","1965.940","169.869","1959.010","130.047","1950.180","89.695",69
59,"José Antonio Alzate, Méx.","San Bernabé, Méx.","Lerma Santiago PacÃ­fico","Estado de MÃ©xico","2566.920","52.509","2565.500","35.312","2559.990","4.796",14
58,"Sabaneta, Mich.","Sabaneta, Mich.","Balsas","MichoacÃ¡n de Ocampo","2508.950","5.875","2508.000","5.043","2504.310","2.380",47
57,"La Sauceda, Jal.","Garabatillos, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1921.030","21.500","1918.900","16.000","1912.070","4.263",27
56,"San Rafael, Nay.","San Rafael","Lerma Santiago PacÃ­fico","Nayarit","66.100","35.591","63.410","26.179","62.300","22.778",87
55,"República Española, Tamps.","Real Viejo o El Sombrero, Tamps.","Golfo Norte","Tamaulipas","89.430","105.990","83.000","54.780","74.820","8.634",16
54,"El Rodeo, Mor.","El Rodeo, Mor.","Balsas","Morelos","1166.500","33.137","1164.200","26.984","1152.500","2.466",9
53,"Plutarco Elías Calles, Ags.","Calles, Ags.","Lerma Santiago PacÃ­fico","Aguascalientes","2022.000","407.438","2020.000","358.121","1998.370","38.779",11
52,"Piedras Azules, Chih.","","RÃ­o Bravo","Chihuahua","1998.420","13.194","1996.500","8.712","1995.200","6.250",72
51,"Palomas, Zac.","Palomas, Zac.","Lerma Santiago PacÃ­fico","Zacatecas","1907.480","8.761","1904.250","4.620","1902.110","2.694",58
50,"Peña del Aguila, Dgo.","Peña Del Aguila, Dgo.","PacÃ­fico Norte","Durango","1895.270","54.902","1892.500","27.948","1886.470","3.282",12
49,"Pico del Aguila, Chih.","Pico Del Aguila, Chih.","RÃ­o Bravo","Chihuahua","1619.000","59.843","1616.900","48.276","1612.770","29.338",61
48,"Necaxa, Pue.","Necaxa, Pue.","Golfo Centro","Puebla","1343.000","39.283","1338.000","29.055","1332.400","19.128",66
47,"El Niágara, Ags.","El Niágara, Ags.","Lerma Santiago PacÃ­fico","Aguascalientes","1832.400","31.695","1828.400","16.188","1828.170","15.526",96
46,"Nexapa, Pue.","Nexapa, Pue.","Golfo Centro","Puebla","1362.350","15.313","1360.000","12.500","1358.250","10.148",81
45,"Marte Rodolfo Gómez, Tamps.","El AzÃºcar, Tamps.","RÃ­o Bravo","Tamaulipas","83.000","2208.663","76.300","781.700","72.100","318.888",41
44,"Melchor Ocampo, Mich.","El Rosario, Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","1714.410","249.843","1711.900","194.454","1708.090","120.710",62
43,"Media Luna, Ags.","Media Luna, Ags.","Lerma Santiago PacÃ­fico","Aguascalientes","1621.960","21.196","1619.200","15.000","1609.400","2.532",17
42,"Malpaís, Mich.","La Ciénega, Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","1843.560","27.249","1842.530","18.512","1839.890","3.757",20
41,"Nezahualcóyotl, Chis.","Malpaso, Chis.","Frontera Sur","Chiapas","188.000","14056.320","182.500","9317.390","163.450","4134.300",44
40,"Mariano Abasolo, Gto.","San Antonio de Aceves, Gto.","Lerma Santiago PacÃ­fico","Guanajuato","1753.080","23.946","1751.300","20.079","1744.390","8.377",42
39,"Gobernador Leobardo Reynoso, Zac.","Trujillo, Zac.","Cuencas Centrales del Norte","Zacatecas","2129.530","125.921","2127.350","95.717","2116.710","16.680",17
38,"Los Reyes, Hgo.","Omiltepec, Pue.","Golfo Centro","Hidalgo","2167.000","29.263","2165.000","24.031","2157.270","7.423",31
37,"Los Olivos, Mich.","Los Olivos, Mich.","Balsas","MichoacÃ¡n de Ocampo","421.000","16.271","418.000","10.262","412.460","3.305",32
36,"Manuel Felgueres, Zac.","Lobatos, Zac.","Lerma Santiago PacÃ­fico","Zacatecas","2080.180","9.435","2077.050","6.905","2071.830","3.784",55
35,"Los Naranjos, Dgo.","Los Naranjos, Dgo.","Cuencas Centrales del Norte","Durango","1661.090","27.390","1658.400","20.928","1652.450","10.239",49
34,"El Granero, Chih.","Ing. Luis L. León, Chih.","RÃ­o Bravo","Chihuahua","1050.500","824.762","1034.800","284.382","1032.490","235.415",83
33,"La Llave, Qro.","Divino Redentor, Qro.","Golfo Norte","QuerÃ©taro","1891.100","14.414","1890.000","9.312","1887.500","0.000",0
32,"La Laguna, Hgo.","Tejocotal, Pue.","Golfo Centro","Hidalgo","2184.500","49.227","2183.000","40.638","2175.220","5.828",14
31,"Las Lajas, Chih.","Las Lajas, Chih.","RÃ­o Bravo","Chihuahua","1561.620","106.547","1558.700","83.266","1542.890","10.083",12
30,"La Fragua, Coah.","La Fragua, Coah","RÃ­o Bravo","Coahuila de Zaragoza","303.960","85.380","300.300","47.295","296.550","22.569",48
29,"Laguna de Yuriria, Gto.","Bordo de Tavamatacheo, Gto.","Lerma Santiago PacÃ­fico","Guanajuato","1731.400","325.195","1730.920","278.790","1726.520","1.007",0
28,"Laguna de Tuxpan, Gro.","Laguna de Tuxpan, Gro.","Balsas","Guerrero","743.350","19.503","742.840","17.647","741.650","13.470",76
27,"Ignacio Allende, Gto.","La Begoña, Gto.","Lerma Santiago PacÃ­fico","Guanajuato","1833.330","241.410","1830.750","170.790","1821.060","22.910",13
26,"Hurtado, Jal.","Valencia, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1462.660","22.624","1462.660","22.624","1459.470","6.881",30
25,"Huapango, Méx.","Huapango, Méx.","Aguas del Valle de MÃ©xico","Estado de MÃ©xico","2512.800","126.500","2512.650","121.300","2507.350","2.000",2
24,"Presidente Guadalupe Victoria, Dgo.","El Tunal, Dgo.","PacÃ­fico Norte","Durango","1934.610","94.617","1931.000","78.060","1920.000","37.715",48
23,"Guaracha, Mich.","San Antonio, Mich.","Lerma Santiago PacÃ­fico","MichoacÃ¡n de Ocampo","1580.110","29.790","1580.010","28.677","1577.240","3.534",12
22,"La Golondrina, Gto.","La Golondrina,Gto.","Lerma Santiago PacÃ­fico","Guanajuato","1837.120","5.970","1835.200","4.670","1823.880","0.555",12
21,"Gustavo Díaz Ordaz, Sin.","Bacurato, Sin.","PacÃ­fico Norte","Sinaloa","252.500","2687.074","237.060","1618.751","204.260","331.417",20
20,"Guadalupe, Méx.","Guadalupe,Méx.","Aguas del Valle de MÃ©xico","Estado de MÃ©xico","2306.820","64.080","2305.200","56.910","2299.320","34.817",61
19,"Ing. Guillermo Blake Aguilar, Sin.","El Sabinal, Sin.","PacÃ­fico Norte","Sinaloa","196.610","469.200","188.450","294.578","169.620","70.845",24
18,"Francisco Zarco, Dgo.","Las Tórtolas, Dgo.","Cuencas Centrales del Norte","Durango","1210.050","383.160","1208.200","309.240","1198.850","77.807",25
17,"Francisco Villa, Dgo.","El Bosque, Dgo.","PacÃ­fico Norte","Durango","1996.130","96.570","1993.000","73.260","1988.860","48.649",66
16,"Las Vírgenes, Chih.","Francisco I. Madero, Chih.","RÃ­o Bravo","Chihuahua","1242.560","477.622","1239.300","333.320","1229.160","91.788",28
15,"Miguel Alemán, Zac.","Excamé, Zac.","Lerma Santiago PacÃ­fico","Zacatecas","1704.500","70.920","1703.400","64.530","1688.640","10.529",16
14,"El Estribón, Jal.","El Estribón, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1881.410","7.740","1880.000","6.378","1878.150","5.048",79
13,"El Salto, Jal.","El Salto, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1812.500","118.540","1810.160","85.000","1807.460","64.269",76
12,"El Rejón, Chih.","El Rejón, Chih.","RÃ­o Bravo","Chihuahua","1478.320","7.755","1477.000","6.528","1475.990","5.677",87
11,"Estudiante Ramiro Caballero Dorantes, Tamps.","Las Animas, Tamps.","Golfo Norte","Tamaulipas","52.550","654.370","51.700","563.443","42.530","61.628",11
10,"El Potosino, S.L.P.","El Potosino, S.L.P.","Cuencas Centrales del Norte","San Luis PotosÃ­","2000.850","5.199","1996.800","3.293","1979.540","0.016",0
9,"El Palote, Gto.","El Palote, Gto.","Lerma Santiago PacÃ­fico","Guanajuato","1838.600","17.161","1836.150","9.643","1829.670","0.000",0
8,"Endhó, Hgo.","Endhó, Hgo.","Aguas del Valle de MÃ©xico","Hidalgo","2020.000","208.650","2018.000","182.900","2007.050","74.805",41
7,"Emilio López Zamora, B.C.","Ensenada, B.C.","PenÃ­nsula de Baja California","Baja California","25.260","6.342","19.890","2.732","21.210","3.358",123
6,"Gonzalo N. Santos, S.L.P.","El Peaje, S.L.P.","Cuencas Centrales del Norte","San Luis PotosÃ­","2047.870","9.054","2044.850","6.685","2029.060","0.323",5
5,"Cañada del Lobo, S.L.P.","Cañada del Lobo, S.L.P.","Cuencas Centrales del Norte","San Luis PotosÃ­","1962.100","2.161","1958.800","1.244","1952.490","0.209",17
4,"El Cazadero, Zac.","El Cazadero, Zac","Cuencas Centrales del Norte","Zacatecas","1919.940","44.680","1916.000","22.178","1910.620","4.250",19
3,"El Gallo, Gro.","El Gallo, Gro.","Balsas","Guerrero","368.000","545.966","362.780","400.039","357.730","288.390",72
2,"Ing. Elías González Chávez, Jal.","Puente Calderón, Jal.","Lerma Santiago PacÃ­fico","Jalisco","1620.000","100.000","1618.000","80.000","1608.550","18.810",24
1,"Abelardo L. Rodríguez, Ags.","Abelardo L. Rodríguez, Ags.","Lerma Santiago PacÃ­fico","Aguascalientes","1890.000","18.816","1888.880","15.997","1881.960","4.488",28[object Object]